date	cot	min	max	var	pvar	vol
1/12/2015	15,89	15,36	15,89	0,69	4,54	2.313.800
30/11/2015	15,20	15,20	16,37	-0,46	-2,94	5.790.300
27/11/2015	15,66	15,23	15,66	0,31	2,02	1.766.000
26/11/2015	15,35	15,11	15,48	-0,09	-0,58	1.065.900
25/11/2015	15,44	14,96	15,48	0,33	2,18	2.216.200
24/11/2015	15,11	14,61	15,15	0,41	2,79	2.314.100
23/11/2015	14,70	14,60	14,92	0,00	0,00	1.746.300
19/11/2015	14,70	14,18	14,74	0,57	4,03	2.510.800
18/11/2015	14,13	14,13	14,53	-0,29	-2,01	1.254.300
17/11/2015	14,42	14,24	14,60	0,22	1,55	2.007.300
16/11/2015	14,20	14,03	14,32	0,15	1,07	1.804.400
13/11/2015	14,05	13,92	14,38	-0,20	-1,40	2.725.600
12/11/2015	14,25	14,20	14,58	-0,29	-1,99	2.503.900
11/11/2015	14,54	14,11	14,58	0,07	0,48	2.098.000
10/11/2015	14,47	14,01	14,93	-0,45	-3,02	4.017.900
9/11/2015	14,92	14,88	15,31	-0,14	-0,93	1.733.800
6/11/2015	15,06	15,01	15,52	-0,33	-2,14	2.056.100
5/11/2015	15,39	14,39	15,48	1,02	7,10	2.750.000
4/11/2015	14,37	14,32	14,90	-0,02	-0,14	2.243.200
3/11/2015	14,39	13,92	14,57	-0,01	-0,07	5.188.600
30/10/2015	14,40	14,27	14,72	-0,13	-0,89	2.130.800
29/10/2015	14,53	14,53	15,27	-0,76	-4,97	2.700.600
28/10/2015	15,29	15,08	15,69	-0,32	-2,05	2.620.300
27/10/2015	15,61	15,44	15,73	-0,04	-0,26	2.198.600
26/10/2015	15,65	15,50	15,93	-0,20	-1,26	1.164.100
23/10/2015	15,85	15,79	16,18	0,00	0,00	1.269.700
22/10/2015	15,85	15,65	15,91	0,19	1,21	1.170.000
21/10/2015	15,66	15,59	15,99	-0,29	-1,82	1.037.500
20/10/2015	15,95	15,59	16,02	0,04	0,25	1.706.100
19/10/2015	15,91	15,84	16,19	-0,09	-0,56	1.490.200
16/10/2015	16,00	15,86	16,29	-0,19	-1,17	1.460.800
15/10/2015	16,19	15,79	16,28	0,04	0,25	1.159.300
14/10/2015	16,15	16,11	16,46	-0,19	-1,16	1.972.700
13/10/2015	16,34	15,94	16,38	0,38	2,38	2.263.600
9/10/2015	15,96	15,57	16,50	-0,29	-1,78	2.288.600
8/10/2015	16,25	16,22	16,88	-0,59	-3,50	1.874.700
7/10/2015	16,84	16,71	17,22	0,14	0,84	1.685.200
6/10/2015	16,70	16,38	16,90	-0,04	-0,24	1.205.000
5/10/2015	16,74	16,42	16,88	0,40	2,45	1.311.700
2/10/2015	16,34	15,88	16,39	0,45	2,83	1.532.900
1/10/2015	15,89	15,50	15,95	0,44	2,85	976.800
30/09/2015	15,45	15,32	15,80	-0,05	-0,32	3.615.200
29/09/2015	15,50	15,43	15,79	-0,14	-0,90	1.508.200
28/09/2015	15,64	15,42	15,69	-0,14	-0,89	1.496.100
25/09/2015	15,78	15,75	16,37	-0,47	-2,89	1.951.800
24/09/2015	16,25	15,80	16,25	-0,03	-0,18	1.645.300
23/09/2015	16,28	16,17	16,56	-0,18	-1,09	1.621.800
22/09/2015	16,51	16,02	16,51	0,26	1,60	1.751.900
21/09/2015	16,25	16,23	16,79	-0,19	-1,16	902.600
18/09/2015	16,44	16,17	16,88	-0,31	-1,85	1.900.500
17/09/2015	16,75	16,68	17,10	0,12	0,72	3.461.000
16/09/2015	16,63	16,53	16,74	0,13	0,79	3.444.500
15/09/2015	16,50	16,31	16,58	0,07	0,43	2.400.700
14/09/2015	16,43	16,13	16,45	0,39	2,43	2.126.300
11/09/2015	16,04	15,91	16,21	0,04	0,25	1.918.800
10/09/2015	16,00	15,90	16,48	-0,08	-0,50	2.449.500
9/09/2015	16,08	16,05	16,60	-0,25	-1,53	1.757.500
8/09/2015	16,33	16,02	17,00	-0,17	-1,03	1.178.400
4/09/2015	16,50	16,24	16,89	-0,37	-2,19	1.552.200
3/09/2015	16,87	16,71	17,33	0,00	0,00	1.540.200
2/09/2015	16,87	16,34	16,99	0,60	3,69	2.162.800
1/09/2015	16,27	16,22	16,58	-0,48	-2,87	1.564.000
31/08/2015	16,75	16,32	16,98	0,01	0,06	2.797.900
28/08/2015	16,74	16,60	17,00	0,07	0,42	1.455.500
27/08/2015	16,67	16,15	16,79	0,51	3,16	3.082.400
26/08/2015	16,16	16,13	16,50	-0,02	-0,12	1.533.400
25/08/2015	16,18	15,97	16,85	-0,27	-1,64	2.458.600
24/08/2015	16,45	15,70	16,77	-0,50	-2,95	3.457.400
21/08/2015	16,95	16,19	17,10	0,26	1,56	1.573.100
20/08/2015	16,69	16,69	17,90	-0,96	-5,44	1.544.700
19/08/2015	17,65	17,18	17,70	0,15	0,86	1.032.800
18/08/2015	17,50	17,12	17,86	0,38	2,22	3.071.100
17/08/2015	17,12	17,00	17,69	-0,29	-1,67	1.336.000
14/08/2015	17,41	17,33	17,84	-0,34	-1,92	796.400
